borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
QN,5102,54,407,849,3001,25,20,11355,L129,109,1200,4,1E,132-21 POPLE AVENUE,R6,,,,,,,,,,false,V0,11,0,,EAST WEST MANSION LLC,2902,0,,,,,,,,,7,0,,0,0,29,100.08,0,0,,0,false,5,5,24180,24180,0,0,2023,0,,,0,2.43,0,4.8,4,4051020054,,849,1030798,213823,40.7534487,-73.8319921,10b,,411 013,42504,,,,1,25v2.1,7,43,,,,,,,,,,,,,,4084901,40849011001
QN,4132,25,407,925,2000,25,19,11356,E297,109,210,4,5E,127 STREET,M1-1,,,,,,,,,,false,V1,11,0,,"25-50 FLB, LLC",3742,0,,,,,,,,,7,0,,0,0,37.42,100,0,0,,0,false,5,5,80100,80100,0,0,0,0,,,0,0,1,2.4,4,4041320025,,925,1028112,224493,40.7827488,-73.8416171,7b,,405 024,42104,,,,1,25v2.1,7,43,,,,,,,,,,,,,,4092500,40925002000
QN,4082,13,407,925,2006,25,19,11356,E297,109,210,4,5D,120 STREET,R4A,,,,,,,,,,false,V0,11,0,,OSCAR RIOS,2500,0,,,,,,,,,7,0,,0,0,25,100,0,0,,0,false,5,5,17280,17280,0,0,0,0,,,0,1,0,2,4,4040820013,,925,1026499,224443,40.7826194,-73.8474419,7b,,405 017,42103,,,,1,25v2.1,7,43,,,,,,,,,,,,,,4092500,40925002006
BX,4987,83,212,426,4001,11,12,10466,E038,47,520,2,5D,2127 STRANG AVENUE,R4A,,,,,,,,,,false,V0,11,0,,"BRIDGE, RAPHAEL",2000,0,,,,,,,,,7,0,,0,0,20,100,0,0,,0,false,3,5,5880,5880,0,0,0,0,,,0,1,0,2,2,2049870083,,426,1028991,264070,40.8913716,-73.8381791,2b,,222 045,21705,,,,1,25v2.1,12,24,,,,,,,,,,,,,,2042600,20426004001
QN,11742,42,410,838,2002,27,28,11420,E302,106,3611,4,2E,122 STREET,R3-2,,,,,,,,,,false,V0,11,0,,121-18 133RD AVE CORP,4385,0,,,,,,,,,7,0,,0,0,23.67,148.17,0,0,,0,true,3,5,12720,12720,0,0,0,0,,,0,0.75,0,1,4,4117420042,,838,1034766,184067,40.671754,-73.8178935,18c,,415 063,45103,,4117420042,11/22/2023,1,25v2.1,10,45,,,,,,,,,,,,,,4083800,40838002002
SI,4793,108,503,128.05,1023,31,50,10306,E165,122,920,5,1D,DELWIT AVENUE,R3X,,,,,,CR-3,,,,false,V0,11,0,,BOBRAB REALTY CO INC,3520,0,,,,,,,,,7,0,,0,0,40,88,0,0,,0,false,5,5,10560,10560,0,0,0,0,,,0,0.75,0,1,5,5047930108,,12805,952064,140517,40.5523039,-74.1158207,34a,,504 432,52101,,,,1,25v2.1,3,51,1,1,,,,,,,,,,,,5012805,50128054003
QN,4128,14,407,925,2004,25,19,11356,E297,109,210,4,5D,18-15 COLLEGE POINT BLVD,R5B,,,,C1-3,,,,,,false,V1,11,0,,DNF BUILDERS INC,2500,0,,,,,,,,,7,0,,0,0,25,100,0,0,,0,false,5,5,220950,220950,0,0,0,0,,,0,1.5,0,2,4,4041280014,,925,1027009,224472,40.7826965,-73.8456001,7b,,405 023,42104,,,,1,25v2.1,7,43,,,,,,,,,,,,,,4092500,40925002004
QN,11859,51,410,838,1006,27,28,11420,E302,106,3611,4,3C,135-12 126 STREET,R3-2,,,,,,,,,,false,V0,11,0,,SINGH DAVID,10000,0,,,,,,,,,7,0,,0,0,99.12,100,0,0,,0,true,5,5,24540,24540,0,0,0,0,,,0,0.75,0,1,4,4118590051,,838,1035802,182764,40.6681716,-73.8141688,18d,,415 069,45106,,4118590055,12/30/1997,1,25v2.1,10,45,,,,,,,,,,,,,,4083800,40838001006
QN,11742,63,410,838,2002,27,28,11420,E302,106,3611,4,2E,133-42 122 STREET,R3-2,,,,,,,,,,false,V0,11,0,,"SATTAUR, MICHELLE",2000,0,,,,,,,,,7,1,,0,0,20,100,0,0,,0,true,5,5,5340,5340,0,0,0,0,,,0,0.75,0,1,4,4117420063,,838,1034679,183664,40.6706483,-73.8182101,18d,,415 063,45103,,,,1,25v2.1,10,45,,,,,,,,,,,,,,4083800,40838002002
QN,11783,30,410,838,1002,27,28,11420,E302,106,3611,4,3C,133-13 124 STREET,R3-2,,,,,,,,,,false,V0,11,0,,REMRAJ SINGH,2000,0,,,,,,,,,7,1,,0,0,20,100,0,0,,0,false,5,5,9240,9240,0,0,0,0,,,0,0.75,0,1,4,4117830030,,838,1035661,183743,40.6708595,-73.8146696,18d,,415 064,45104,,,,1,25v2.1,10,45,,,,,,,,,,,,,,4083800,40838001002
