borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,state,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,x,y,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1262,29,105.0,96.0,1003.0,2.0,4.0,10036.0,L004,18.0,4800.0,1.0,2B,13 WEST 46 STREET,,C6-4.5,,,,,,MiD,,,,False,V1,11,0,,13 W 46 OWNER LLC,2161,0,,,,,,,,,7,0,,0,0,21.42,100.42,0,0,,0,False,5,5,1201050,1201050,0,0,0,0,,,0.0,10.0,12.0,10.0,1,1012620029,,96.0,989864.0,214918.0,40.7565749,-73.9797362,8d,,104 045,10501.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1009600.0,10096002002.0
MN,1432,14,108.0,134.0,1000.0,2.0,5.0,10075.0,E044,19.0,4200.0,1.0,3A,235 EAST 77 STREET,,R8B,,,,,,,,,,False,V1,11,0,,"EAST SEVEN SEVEN, LLC",2554,0,,,,,,,,,7,1,,0,0,25.0,102.17,0,0,,0,False,5,5,465750,465750,0,0,0,0,,,0.0,4.0,0.0,4.0,1,1014320014,,134.0,996193.0,220770.0,40.7726309,-73.9568812,8c,,108S013,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1013400.0,10134001000.0
MN,1450,109,108.0,134.0,7000.0,2.0,5.0,10021.0,E044,19.0,4200.0,1.0,2B,EAST 75 STREET,,R8B,,,,,,,,,,False,V1,11,0,,EAST 76 ST RLTY CP,81,0,,,,,,,,,7,0,,0,0,25.0,3.75,0,0,,0,False,6,5,450,450,0,0,0,0,,,0.0,4.0,0.0,4.0,1,1014500109,,134.0,996468.0,220072.0,40.7707147,-73.9558896,9a,,108S006,10511.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1013400.0,10134007001.0
MN,1431,120,108.0,134.0,2000.0,2.0,5.0,10021.0,E044,19.0,4200.0,1.0,3A,EAST 76 STREET,,R8B,,,,,,,,,,False,V1,11,0,,"242-44 EAST 77TH STREET, L.L.C.",173,0,,,,,,,,,7,0,,0,0,80.0,2.17,0,0,,0,False,6,5,2250,2250,0,0,0,0,,,0.0,4.0,0.0,4.0,1,1014310120,,134.0,996203.0,220524.0,40.7719557,-73.9568455,8c,,108S013,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1013400.0,10134002000.0
MN,1452,151,108.0,134.0,9000.0,2.0,5.0,10075.0,E044,19.0,4200.0,1.0,3B,SECOND AVENUE,,C1-9,,,,,,,,,,False,V1,11,0,X,UNAVAILABLE OWNER,153,0,,,,,,,,,7,0,,0,0,25.5,6.0,0,0,,0,False,6,5,0,0,0,0,0,0,,,0.0,10.0,2.0,10.0,1,1014520151,,134.0,996614.0,220612.0,40.7721966,-73.9553615,9a,,18S 014,10511.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1013400.0,10134009000.0
MN,1480,116,108.0,116.0,1000.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,F D R DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17.0,0,0,,0,False,8,5,1350,1350,1350,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800116,,116.0,996839.0,216969.0,40.7621972,-73.954556,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001009.0
MN,1480,115,108.0,116.0,1000.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,F D R DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17.0,0,0,,0,False,8,5,1350,1350,1350,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800115,,116.0,996906.0,217055.0,40.7624332,-73.954314,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001009.0
MN,1435,1,108.0,110.0,6002.0,2.0,5.0,10065.0,L016,19.0,4900.0,1.0,1B,1140 2 AVENUE,,C2-8,,,,,,TA,,,,False,V1,11,0,,"1711 FIRST AVENUE, LLC",3000,0,,,,,,,,,7,0,,0,0,40.0,75.0,0,0,,0,False,3,5,434700,434700,0,0,2015,0,,,0.0,10.0,2.0,10.0,1,1014350001,,110.0,994353.0,216618.0,40.761237,-73.9635305,8c,,106E056,10511.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011000.0,10110006001.0
MN,1435,151,108.0,110.0,6002.0,2.0,5.0,10065.0,L016,19.0,4900.0,1.0,1B,1152 2 AVENUE,,C2-8,,,,,,TA,,,,False,V1,11,0,,1152 MANHATTAN LLC,1500,0,,,,,,,,,7,0,,0,0,20.0,75.0,0,0,,0,False,5,5,337500,337500,0,0,0,0,,,0.0,10.0,2.0,10.0,1,1014350151,,110.0,994407.0,216715.0,40.7615032,-73.9633354,8c,,106E056,10511.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011000.0,10110006001.0
MN,1480,110,108.0,116.0,1006.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,FDR DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,3142,0,,,,,,,,,7,0,,0,0,6.0,936.0,0,0,,0,True,8,5,35550,35550,35550,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800110,,116.0,997065.0,217444.0,40.7635007,-73.9537393,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001007.0
