borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1262,29,105,96,1003,2,4,10036,L004,18,4800,1,2B,13 WEST 46 STREET,C6-4.5,,,,,,MiD,,,,false,V1,11,0,,13 W 46 OWNER LLC,2161,0,,,,,,,,,7,0,,0,0,21.42,100.42,0,0,,0,false,5,5,1201050,1201050,0,0,0,0,,,0,10,12,10,1,1012620029,,96,989864,214918,40.7565749,-73.9797362,8d,,104 045,10501,,,,1,24v3,5,13,,,,,,,,,,,,,,1009600,10096002002
MN,1432,14,108,134,1000,2,5,10075,E044,19,4200,1,3A,235 EAST 77 STREET,R8B,,,,,,,,,,false,V1,11,0,,"EAST SEVEN SEVEN\, LLC",2554,0,,,,,,,,,7,1,,0,0,25,102.17,0,0,,0,false,5,5,465750,465750,0,0,0,0,,,0,4,0,4,1,1014320014,,134,996193,220770,40.7726309,-73.9568812,8c,,108S013,10510,,,,1,24v3,8,13,,,,,,,,,,,,,,1013400,10134001000
MN,1450,109,108,134,7000,2,5,10021,E044,19,4200,1,2B,EAST 75 STREET,R8B,,,,,,,,,,false,V1,11,0,,EAST 76 ST RLTY CP,81,0,,,,,,,,,7,0,,0,0,25,3.75,0,0,,0,false,6,5,450,450,0,0,0,0,,,0,4,0,4,1,1014500109,,134,996468,220072,40.7707147,-73.9558896,9a,,108S006,10511,,,,1,24v3,8,13,,,,,,,,,,,,,,1013400,10134007001
MN,1431,120,108,134,2000,2,5,10021,E044,19,4200,1,3A,EAST 76 STREET,R8B,,,,,,,,,,false,V1,11,0,,"242-44 EAST 77TH STREET\, L.L.C.",173,0,,,,,,,,,7,0,,0,0,80,2.17,0,0,,0,false,6,5,2250,2250,0,0,0,0,,,0,4,0,4,1,1014310120,,134,996203,220524,40.7719557,-73.9568455,8c,,108S013,10510,,,,1,24v3,8,13,,,,,,,,,,,,,,1013400,10134002000
MN,1452,151,108,134,9000,2,5,10075,E044,19,4200,1,3B,SECOND AVENUE,C1-9,,,,,,,,,,false,V1,11,0,X,UNAVAILABLE OWNER,153,0,,,,,,,,,7,0,,0,0,25.5,6,0,0,,0,false,6,5,0,0,0,0,0,0,,,0,10,2,10,1,1014520151,,134,996614,220612,40.7721966,-73.9553615,9a,,18S 014,10511,,,,1,24v3,8,13,,,,,,,,,,,,,,1013400,10134009000
MN,1480,116,108,116,1000,2,5,10065,L016,19,4400,1,1B,F D R DRIVE,R9,,,,,,,,,,false,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17,0,0,,0,false,8,5,1350,1350,1350,0,0,0,,,0,7.52,0,10,1,1014800116,,116,996839,216969,40.7621972,-73.954556,9a,,106E068,10512,,,,1,24v3,8,13,1,1,,,,,,,,,,,,1011600,10116001009
MN,1480,115,108,116,1000,2,5,10065,L016,19,4400,1,1B,F D R DRIVE,R9,,,,,,,,,,false,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17,0,0,,0,false,8,5,1350,1350,1350,0,0,0,,,0,7.52,0,10,1,1014800115,,116,996906,217055,40.7624332,-73.954314,9a,,106E068,10512,,,,1,24v3,8,13,1,1,,,,,,,,,,,,1011600,10116001009
MN,1435,1,108,110,6002,2,5,10065,L016,19,4900,1,1B,1140 2 AVENUE,C2-8,,,,,,TA,,,,false,V1,11,0,,"1711 FIRST AVENUE\, LLC",3000,0,,,,,,,,,7,0,,0,0,40,75,0,0,,0,false,3,5,434700,434700,0,0,2015,0,,,0,10,2,10,1,1014350001,,110,994353,216618,40.761237,-73.9635305,8c,,106E056,10511,,,,1,24v3,8,13,,,,,,,,,,,,,,1011000,10110006001
MN,1435,151,108,110,6002,2,5,10065,L016,19,4900,1,1B,1152 2 AVENUE,C2-8,,,,,,TA,,,,false,V1,11,0,,1152 MANHATTAN LLC,1500,0,,,,,,,,,7,0,,0,0,20,75,0,0,,0,false,5,5,337500,337500,0,0,0,0,,,0,10,2,10,1,1014350151,,110,994407,216715,40.7615032,-73.9633354,8c,,106E056,10511,,,,1,24v3,8,13,,,,,,,,,,,,,,1011000,10110006001
MN,1480,110,108,116,1006,2,5,10065,L016,19,4400,1,1B,FDR DRIVE,R9,,,,,,,,,,false,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,3142,0,,,,,,,,,7,0,,0,0,6,936,0,0,,0,true,8,5,35550,35550,35550,0,0,0,,,0,7.52,0,10,1,1014800110,,116,997065,217444,40.7635007,-73.9537393,9a,,106E068,10512,,,,1,24v3,8,13,1,1,,,,,,,,,,,,1011600,10116001007
