borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes
MN,1262,29,105.0,4.0,10036.0,18.0,13 WEST 46 STREET,,V1,11,,13 W 46 OWNER LLC,2161,0,21.42,100.42,5,1201050,0,,,1,989864.0,214918.0,40.7565749,-73.9797362,8d,
MN,1432,14,108.0,5.0,10075.0,19.0,235 EAST 77 STREET,,V1,11,,"EAST SEVEN SEVEN, LLC",2554,0,25.0,102.17,5,465750,0,,,1,996193.0,220770.0,40.7726309,-73.9568812,8c,
MN,1450,109,108.0,5.0,10021.0,19.0,EAST 75 STREET,,V1,11,,EAST 76 ST RLTY CP,81,0,25.0,3.75,6,450,0,,,1,996468.0,220072.0,40.7707147,-73.9558896,9a,
MN,1431,120,108.0,5.0,10021.0,19.0,EAST 76 STREET,,V1,11,,"242-44 EAST 77TH STREET, L.L.C.",173,0,80.0,2.17,6,2250,0,,,1,996203.0,220524.0,40.7719557,-73.9568455,8c,
MN,1452,151,108.0,5.0,10075.0,19.0,SECOND AVENUE,,V1,11,X,UNAVAILABLE OWNER,153,0,25.5,6.0,6,0,0,,,1,996614.0,220612.0,40.7721966,-73.9553615,9a,
MN,1480,116,108.0,5.0,10065.0,19.0,F D R DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,56,0,3.5,17.0,8,1350,0,,,1,996839.0,216969.0,40.7621972,-73.954556,9a,
MN,1480,115,108.0,5.0,10065.0,19.0,F D R DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,56,0,3.5,17.0,8,1350,0,,,1,996906.0,217055.0,40.7624332,-73.954314,9a,
MN,1435,1,108.0,5.0,10065.0,19.0,1140 2 AVENUE,,V1,11,,"1711 FIRST AVENUE, LLC",3000,0,40.0,75.0,3,434700,0,,,1,994353.0,216618.0,40.761237,-73.9635305,8c,
MN,1435,151,108.0,5.0,10065.0,19.0,1152 2 AVENUE,,V1,11,,1152 MANHATTAN LLC,1500,0,20.0,75.0,5,337500,0,,,1,994407.0,216715.0,40.7615032,-73.9633354,8c,
MN,1480,110,108.0,5.0,10065.0,19.0,FDR DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,3142,0,6.0,936.0,8,35550,0,,,1,997065.0,217444.0,40.7635007,-73.9537393,9a,
MN,1480,112,108.0,5.0,10065.0,19.0,F D R DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,60,0,3.5,17.0,8,1350,0,,,1,997074.0,217295.0,40.7630917,-73.953707,9a,
MN,1480,118,108.0,5.0,10065.0,19.0,F D R DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,56,0,3.5,17.0,8,1350,0,,,1,996706.0,216815.0,40.7617747,-73.9550364,9a,
MN,1480,111,108.0,5.0,10065.0,19.0,F D R DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,60,0,3.5,17.0,8,1350,0,,,1,997122.0,217367.0,40.7632892,-73.9535336,9a,
MN,1273,9,105.0,4.0,10019.0,18.0,43 WEST 57 STREET,,V1,11,,BOB 57 DEVELOPMENT LLC,3256,0,32.42,100.42,5,2095200,0,,,1,990843.0,217699.0,40.7642074,-73.9761997,8c,
MN,1273,7,105.0,4.0,10019.0,18.0,45 WEST 57 STREET,,V1,11,,BOB 57 DEVELOPMENT LLC,5045,0,50.25,100.42,5,3006450,0,,,1,990807.0,217719.0,40.7642623,-73.9763297,8c,
MN,1426,120,108.0,5.0,10021.0,19.0,257 EAST 71 STREET,,V1,11,,259 EAST 72 OWNER LLC,1890,0,18.5,102.17,5,477900,0,,,1,995560.0,219264.0,40.7684981,-73.9591691,8c,
MN,1426,25,108.0,5.0,10021.0,19.0,1357 2 AVENUE,,V1,11,,CF EAST 72 OWNER LLC,6068,0,102.17,59.33,3,895500,0,,,1,995665.0,219325.0,40.7686654,-73.9587899,8c,
MN,1426,121,108.0,5.0,10021.0,19.0,259 EAST 71 STREET,,V1,11,,259 EAST 72 OWNER LLC,1890,0,18.5,102.17,5,477900,0,,,1,995576.0,219254.0,40.7684707,-73.9591113,8c,
MN,1262,32,105.0,4.0,10036.0,18.0,5 WEST 46 STREET,,V1,11,,46/47 OWNER LLC,2152,0,21.42,100.42,5,895500,0,,,1,989939.0,214877.0,40.7564624,-73.9794655,8d,
MN,1262,34,105.0,4.0,10036.0,18.0,562 5 AVENUE,,V1,11,,562 LNBL LLC,3575,0,27.08,100.0,3,3899700,920,,,1,989991.0,214815.0,40.7562922,-73.9792779,8d,
MN,1368,143,106.0,4.0,10022.0,17.0,EAST 57 STREET,,V1,11,,KENNETH G BROWN,66,0,2.67,20.0,5,900,0,,,1,994641.0,215313.0,40.7576548,-73.9624929,8d,
MN,1480,120,108.0,5.0,10065.0,19.0,F D R DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,56,0,3.5,17.0,8,1350,0,,,1,996580.0,216673.0,40.7613852,-73.9554915,9a,
MN,1480,117,108.0,5.0,10065.0,19.0,F D R DRIVE,,V1,11,X,THE ROCKEFELLER UNIVERSITY,56,0,3.5,17.0,8,1350,0,,,1,996769.0,216890.0,40.7619805,-73.9548088,9a,
MN,1311,13,105.0,4.0,10022.0,18.0,126 EAST 57 STREET,,V1,11,,MRR 1326 LLC,13213,0,115.0,100.42,5,7230150,0,,,1,992623.0,216387.0,40.7606048,-73.9697757,8c,
MN,1288,69,105.0,4.0,10022.0,18.0,665 5 AVENUE,,V1,11,,ROLEX REALTY COMPANY LLC,11050,0,85.42,125.0,3,8934750,0,,,1,991009.0,216200.0,40.7600929,-73.975602,8c,
MN,1309,69,105.0,4.0,10022.0,18.0,407 PARK AVENUE,,V1,11,,CLOVER PARK DEVELOPMENT LLC,10975,0,75.42,108.75,3,4949100,0,,,1,992160.0,216152.0,40.7599602,-73.9714473,8d,
MN,1402,41,108.0,4.0,10065.0,19.0,168 EAST 68 STREET,,V5,11,X,PARK EAST SYNAGOGUE,2009,0,20.0,100.42,5,427950,2013,,,1,994466.0,218792.0,40.767204,-73.9631193,8c,
MN,1395,21,108.0,4.0,10022.0,19.0,145 EAST 60 STREET,,V1,11,,PARKVIEW TOWER OWNER LLC,4017,0,40.0,100.42,5,1596150,0,,,1,993318.0,217226.0,40.7629069,-73.9672658,8c,
MN,1395,26,108.0,4.0,10022.0,19.0,155 EAST 60 STREET,,V1,11,,PARKVIEW TOWER OWNER LLC,8033,0,80.0,100.42,5,3578850,0,,,1,993424.0,217168.0,40.7627476,-73.9668832,8c,
MN,1395,24,108.0,4.0,10022.0,19.0,151 EAST 60 STREET,,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,810450,0,,,1,993362.0,217202.0,40.762841,-73.967107,8c,
MN,1395,23,108.0,4.0,10022.0,19.0,149 EAST 60 STREET,,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,1008000,0,,,1,993344.0,217211.0,40.7628657,-73.967172,8c,
MN,1395,25,108.0,4.0,10022.0,19.0,153 EAST 60 STREET,,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,1080000,0,,,1,993380.0,217192.0,40.7628136,-73.967042,8c,
MN,1313,63,105.0,4.0,10022.0,18.0,120 EAST 59 STREET,,V1,11,,118 EAST 59TH STREET REALTY LLC,5021,0,50.0,100.42,5,2952900,0,,,1,992827.0,217019.0,40.7623393,-73.9690385,8c,
MN,2050,158,109.0,9.0,10030.0,30.0,ST NICHOLAS AVENUE,,V1,11,,CHIN YUIEN M,990,0,55.0,18.0,6,12150,0,,,1,999139.0,238927.0,40.8224624,-73.9462047,6a,
MN,2034,17,110.0,9.0,10039.0,32.0,223 WEST 148 STREET,,V1,11,X,HARLEM CONGREGATION FOR COMMUNITY IMPROV EMENT INC,2498,0,25.0,99.92,5,193950,0,,,1,1001155.0,239608.0,40.824328,-73.938919,6a,
MN,2034,15,110.0,9.0,10039.0,32.0,WEST 148 STREET,,V1,11,X,HARLEM CONGREGATIONS FOR COMMUNITY IMPRO VEMENT INC,2498,0,25.0,99.92,5,193950,0,,,1,1001111.0,239632.0,40.8243939,-73.9390779,6a,
MN,2050,4,109.0,9.0,10031.0,30.0,287 CONVENT AVENUE,,V1,11,X,UNITED STATES OF AMERICA,4675,0,46.75,100.0,5,401400,0,,,1,998757.0,238871.0,40.8223094,-73.947585,6a,
