borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,state,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,x,y,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020,city
MN,1262,29,105.0,96.0,1003.0,2.0,4.0,10036.0,L004,18.0,4800.0,1.0,2B,13 WEST 46 STREET,NY,C6-4.5,,,,,,MiD,,,,False,V1,11,0,,13 W 46 OWNER LLC,2161,0,,,,,,,,,7,0,,0,0,21.42,100.42,0,0,,0,False,5,5,1201050,1201050,0,0,0,0,,,0.0,10.0,12.0,10.0,1,1012620029,,96.0,989864.0,214918.0,40.7565749,-73.9797362,8d,,104 045,10501.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1009600.0,10096002002.0,New York
MN,1432,14,108.0,134.0,1000.0,2.0,5.0,10075.0,E044,19.0,4200.0,1.0,3A,235 EAST 77 STREET,NY,R8B,,,,,,,,,,False,V1,11,0,,"EAST SEVEN SEVEN, LLC",2554,0,,,,,,,,,7,1,,0,0,25.0,102.17,0,0,,0,False,5,5,465750,465750,0,0,0,0,,,0.0,4.0,0.0,4.0,1,1014320014,,134.0,996193.0,220770.0,40.7726309,-73.9568812,8c,,108S013,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1013400.0,10134001000.0,New York
MN,1435,1,108.0,110.0,6002.0,2.0,5.0,10065.0,L016,19.0,4900.0,1.0,1B,1140 2 AVENUE,NY,C2-8,,,,,,TA,,,,False,V1,11,0,,"1711 FIRST AVENUE, LLC",3000,0,,,,,,,,,7,0,,0,0,40.0,75.0,0,0,,0,False,3,5,434700,434700,0,0,2015,0,,,0.0,10.0,2.0,10.0,1,1014350001,,110.0,994353.0,216618.0,40.761237,-73.9635305,8c,,106E056,10511.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011000.0,10110006001.0,New York
MN,1435,151,108.0,110.0,6002.0,2.0,5.0,10065.0,L016,19.0,4900.0,1.0,1B,1152 2 AVENUE,NY,C2-8,,,,,,TA,,,,False,V1,11,0,,1152 MANHATTAN LLC,1500,0,,,,,,,,,7,0,,0,0,20.0,75.0,0,0,,0,False,5,5,337500,337500,0,0,0,0,,,0.0,10.0,2.0,10.0,1,1014350151,,110.0,994407.0,216715.0,40.7615032,-73.9633354,8c,,106E056,10511.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011000.0,10110006001.0,New York
MN,1273,9,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,43 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,BOB 57 DEVELOPMENT LLC,3256,0,,,,,,,,,7,0,,0,0,32.42,100.42,0,0,,0,False,5,5,2095200,2095200,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012730009,,11201.0,990843.0,217699.0,40.7642074,-73.9761997,8c,,106W034,10502.0,E-643,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0,New York
MN,1273,7,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,45 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,BOB 57 DEVELOPMENT LLC,5045,0,,,,,,,,,7,0,,0,0,50.25,100.42,0,0,,0,False,5,5,3006450,3006450,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012730007,,11201.0,990807.0,217719.0,40.7642623,-73.9763297,8c,,106W034,10502.0,E-643,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0,New York
MN,1426,120,108.0,126.0,2000.0,2.0,5.0,10021.0,L016,19.0,4200.0,1.0,2A,257 EAST 71 STREET,NY,C1-9,R8B,,,,,TA,,,,True,V1,11,0,,259 EAST 72 OWNER LLC,1890,0,,,,,,,,,7,1,,0,0,18.5,102.17,0,0,,0,False,5,5,477900,477900,0,0,0,0,,,0.0,10.0,2.0,10.0,1,1014260120,,126.0,995560.0,219264.0,40.7684981,-73.9591691,8c,,106E059,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012602.0,10126022000.0,New York
MN,1426,25,108.0,126.0,2000.0,2.0,5.0,10021.0,L016,19.0,4200.0,1.0,2B,1357 2 AVENUE,NY,R10A,,,,C1-5,,TA,,,,False,V1,11,0,,CF EAST 72 OWNER LLC,6068,0,,,,,,,,,7,0,,0,0,102.17,59.33,0,0,,0,False,3,5,895500,895500,0,0,0,0,,,0.0,10.0,0.0,10.0,1,1014260025,,126.0,995665.0,219325.0,40.7686654,-73.9587899,8c,,106E059,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012602.0,10126022000.0,New York
MN,1426,121,108.0,126.0,2000.0,2.0,5.0,10021.0,L016,19.0,4200.0,1.0,2A,259 EAST 71 STREET,NY,C1-9,,,,,,TA,,,,False,V1,11,0,,259 EAST 72 OWNER LLC,1890,0,,,,,,,,,7,0,,0,0,18.5,102.17,0,0,,0,False,5,5,477900,477900,0,0,0,0,,,0.0,10.0,2.0,10.0,1,1014260121,,126.0,995576.0,219254.0,40.7684707,-73.9591113,8c,,106E059,10510.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012602.0,10126022000.0,New York
MN,1262,32,105.0,96.0,1003.0,2.0,4.0,10036.0,L004,18.0,4800.0,1.0,2B,5 WEST 46 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,46/47 OWNER LLC,2152,0,,,,,,,,,7,0,,0,0,21.42,100.42,0,0,,0,False,5,5,895500,895500,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012620032,,96.0,989939.0,214877.0,40.7564624,-73.9794655,8d,,104 045,10501.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1009600.0,10096002002.0,New York
