borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
MN,1262,29,105.0,4.0,10036.0,18.0,13 WEST 46 STREET,NY,V1,11,,13 W 46 OWNER LLC,2161,0,21.42,100.42,5,1201050,0,,,1,989864.0,214918.0,40.7565749,-73.9797362,8d,,New York
MN,1432,14,108.0,5.0,10075.0,19.0,235 EAST 77 STREET,NY,V1,11,,"EAST SEVEN SEVEN, LLC",2554,0,25.0,102.17,5,465750,0,,,1,996193.0,220770.0,40.7726309,-73.9568812,8c,,New York
MN,1435,1,108.0,5.0,10065.0,19.0,1140 2 AVENUE,NY,V1,11,,"1711 FIRST AVENUE, LLC",3000,0,40.0,75.0,3,434700,0,,,1,994353.0,216618.0,40.761237,-73.9635305,8c,,New York
MN,1435,151,108.0,5.0,10065.0,19.0,1152 2 AVENUE,NY,V1,11,,1152 MANHATTAN LLC,1500,0,20.0,75.0,5,337500,0,,,1,994407.0,216715.0,40.7615032,-73.9633354,8c,,New York
MN,1273,9,105.0,4.0,10019.0,18.0,43 WEST 57 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,3256,0,32.42,100.42,5,2095200,0,,,1,990843.0,217699.0,40.7642074,-73.9761997,8c,,New York
MN,1273,7,105.0,4.0,10019.0,18.0,45 WEST 57 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,5045,0,50.25,100.42,5,3006450,0,,,1,990807.0,217719.0,40.7642623,-73.9763297,8c,,New York
MN,1426,120,108.0,5.0,10021.0,19.0,257 EAST 71 STREET,NY,V1,11,,259 EAST 72 OWNER LLC,1890,0,18.5,102.17,5,477900,0,,,1,995560.0,219264.0,40.7684981,-73.9591691,8c,,New York
MN,1426,25,108.0,5.0,10021.0,19.0,1357 2 AVENUE,NY,V1,11,,CF EAST 72 OWNER LLC,6068,0,102.17,59.33,3,895500,0,,,1,995665.0,219325.0,40.7686654,-73.9587899,8c,,New York
MN,1426,121,108.0,5.0,10021.0,19.0,259 EAST 71 STREET,NY,V1,11,,259 EAST 72 OWNER LLC,1890,0,18.5,102.17,5,477900,0,,,1,995576.0,219254.0,40.7684707,-73.9591113,8c,,New York
MN,1262,32,105.0,4.0,10036.0,18.0,5 WEST 46 STREET,NY,V1,11,,46/47 OWNER LLC,2152,0,21.42,100.42,5,895500,0,,,1,989939.0,214877.0,40.7564624,-73.9794655,8d,,New York
MN,1262,34,105.0,4.0,10036.0,18.0,562 5 AVENUE,NY,V1,11,,562 LNBL LLC,3575,0,27.08,100.0,3,3899700,920,,,1,989991.0,214815.0,40.7562922,-73.9792779,8d,,New York
MN,1311,13,105.0,4.0,10022.0,18.0,126 EAST 57 STREET,NY,V1,11,,MRR 1326 LLC,13213,0,115.0,100.42,5,7230150,0,,,1,992623.0,216387.0,40.7606048,-73.9697757,8c,,New York
MN,1288,69,105.0,4.0,10022.0,18.0,665 5 AVENUE,NY,V1,11,,ROLEX REALTY COMPANY LLC,11050,0,85.42,125.0,3,8934750,0,,,1,991009.0,216200.0,40.7600929,-73.975602,8c,,New York
MN,1309,69,105.0,4.0,10022.0,18.0,407 PARK AVENUE,NY,V1,11,,CLOVER PARK DEVELOPMENT LLC,10975,0,75.42,108.75,3,4949100,0,,,1,992160.0,216152.0,40.7599602,-73.9714473,8d,,New York
MN,1402,41,108.0,4.0,10065.0,19.0,168 EAST 68 STREET,NY,V5,11,X,PARK EAST SYNAGOGUE,2009,0,20.0,100.42,5,427950,2013,,,1,994466.0,218792.0,40.767204,-73.9631193,8c,,New York
MN,1395,21,108.0,4.0,10022.0,19.0,145 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,4017,0,40.0,100.42,5,1596150,0,,,1,993318.0,217226.0,40.7629069,-73.9672658,8c,,New York
MN,1395,26,108.0,4.0,10022.0,19.0,155 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,8033,0,80.0,100.42,5,3578850,0,,,1,993424.0,217168.0,40.7627476,-73.9668832,8c,,New York
MN,1395,24,108.0,4.0,10022.0,19.0,151 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,810450,0,,,1,993362.0,217202.0,40.762841,-73.967107,8c,,New York
MN,1395,23,108.0,4.0,10022.0,19.0,149 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,1008000,0,,,1,993344.0,217211.0,40.7628657,-73.967172,8c,,New York
MN,1395,25,108.0,4.0,10022.0,19.0,153 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,1080000,0,,,1,993380.0,217192.0,40.7628136,-73.967042,8c,,New York
MN,1313,63,105.0,4.0,10022.0,18.0,120 EAST 59 STREET,NY,V1,11,,118 EAST 59TH STREET REALTY LLC,5021,0,50.0,100.42,5,2952900,0,,,1,992827.0,217019.0,40.7623393,-73.9690385,8c,,New York
MN,2034,17,110.0,9.0,10039.0,32.0,223 WEST 148 STREET,NY,V1,11,X,HARLEM CONGREGATION FOR COMMUNITY IMPROV EMENT INC,2498,0,25.0,99.92,5,193950,0,,,1,1001155.0,239608.0,40.824328,-73.938919,6a,,New York
MN,2050,4,109.0,9.0,10031.0,30.0,287 CONVENT AVENUE,NY,V1,11,X,UNITED STATES OF AMERICA,4675,0,46.75,100.0,5,401400,0,,,1,998757.0,238871.0,40.8223094,-73.947585,6a,,New York
MN,1273,10,105.0,4.0,10019.0,18.0,41 WEST 57 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,3414,0,34.0,100.42,5,2200950,0,,,1,990872.0,217683.0,40.7641635,-73.9760951,8c,,New York
MN,1273,65,105.0,4.0,10019.0,18.0,50 WEST 58 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,7532,0,75.0,100.42,5,3857400,0,,,1,990913.0,217780.0,40.7644297,-73.975947,8c,,New York
MN,812,45,105.0,4.0,10018.0,14.0,989 AVENUE OF THE AMERICAS,NY,V1,11,,RPY 989 LLC,8041,0,98.75,100.0,3,3546000,0,,,1,987897.0,213111.0,40.7516162,-73.9868371,8d,,New York
MN,1310,14,105.0,4.0,10022.0,18.0,656 LEXINGTON AVENUE,NY,V1,11,,660 LEXINGTON AVENUE DEVELOPMENT LLC,4410,0,60.42,73.0,3,2380500,0,,,1,992503.0,216117.0,40.7598638,-73.9702092,8d,,New York
MN,1309,1,105.0,4.0,10022.0,18.0,405 PARK AVENUE,NY,V1,11,,"RAR2 - 405 PARK, LLC",9037,0,100.42,90.0,3,6626250,0,,,1,992101.0,216066.0,40.7597242,-73.9716604,8d,,New York
MN,1273,17,105.0,4.0,10019.0,18.0,27 WEST 57 STREET,NY,V1,11,,29 WEST 57TH STREET OWNER LLC,4820,0,48.0,100.42,5,3092400,0,,,1,991028.0,217598.0,40.76393,-73.975532,8c,,New York
MN,1273,16,105.0,4.0,10019.0,18.0,31 WEST 57 STREET,NY,V1,11,,31 WEST 57TH STREET OWNER LLC,2711,0,27.0,100.42,5,1747800,1920,,,1,990996.0,217616.0,40.7639795,-73.9756475,8c,,New York
MN,1272,50,105.0,4.0,10019.0,18.0,16 WEST 57 STREET,NY,V1,11,,16 WEST 57TH STREET COMPANY LLC,5020,0,50.0,100.42,5,3241350,0,,,1,991085.0,217344.0,40.7632328,-73.9753265,8c,,New York
MN,1273,15,105.0,4.0,10019.0,18.0,33 WEST 57 STREET,NY,V1,11,,VNO 33 WEST 57TH STREET LLC,2513,0,25.0,100.42,5,1620000,1939,,,1,990972.0,217629.0,40.7640152,-73.9757341,8c,,New York
MN,1272,52,105.0,4.0,10019.0,18.0,20 WEST 57 STREET,NY,V1,11,,20 WEST 57TH STREET REALTY LLC,5020,0,50.0,100.42,5,3221100,0,,,1,991042.0,217368.0,40.7632987,-73.9754817,8c,,New York
MN,1270,44,105.0,4.0,10019.0,18.0,10 WEST 55TH STREET,NY,V1,11,,10 W 55 LLC,10344,0,23.0,100.42,5,3701250,0,,,1,990918.0,216842.0,40.7618551,-73.9759298,8c,,New York
MN,1272,23,105.0,4.0,10019.0,18.0,21 WEST 56 STREET,NY,V1,11,,"NINETEEN WEST REALTY COMPANY, LLC",5020,0,50.0,100.42,5,1718100,0,,,1,991012.0,217263.0,40.7630106,-73.9755901,8c,,New York
MN,1289,65,105.0,4.0,10022.0,18.0,8 EAST 54 STREET,NY,V1,11,,TISHMAN SPEYER,1500,0,15.0,100.0,5,817200,0,,,1,991224.0,216369.0,40.7605566,-73.9748257,8c,,New York
MN,1342,51,106.0,4.0,10022.0,17.0,300 EAST 50 STREET,NY,V1,11,,300 EAST 50TH STREET OWNER LLC,11398,0,113.5,100.42,3,1952100,0,,,1,993024.0,214181.0,40.7545495,-73.9683311,8d,,New York
MN,2063,36,109.0,9.0,10031.0,30.0,773 ST NICHOLAS AVENUE,NY,V1,11,,VINCENT SOLLAZZO-LAMP,2060,0,20.42,105.42,5,160200,0,Hamilton Heights / Sugar Hill Historic District,,1,999901.0,240442.0,40.8266194,-73.943448,6a,,New York
MN,1284,21,105.0,4.0,10017.0,18.0,413 MADISON AVENUE,NY,V1,11,,415 MADISON AVE LLC,11675,0,100.0,116.67,3,9971100,0,,,1,990883.0,214950.0,40.7566621,-73.9760581,8d,,New York
MN,1960,34,110.0,9.0,10030.0,32.0,321 WEST 136 STREET,NY,V1,11,,GRATITUDE CAPITAL LLC,2548,0,25.5,99.92,5,270000,0,Dorrance Brooks Square Historic District,,1,998959.0,237214.0,40.817761,-73.9468588,6a,,New York
MN,2026,15,110.0,9.0,10030.0,32.0,225 WEST 140 STREET,NY,V1,11,X,MAXWELL DEVELOPMENT L,5562,0,55.66,99.92,5,550350,0,,,1,1000088.0,237777.0,40.8193044,-73.9427786,6a,,New York
MN,2024,132,110.0,9.0,10030.0,32.0,7 AVENUE,NY,V1,11,,2370 ADAM CLAYTON POWELL JR. LLC,971,0,12.5,77.67,8,12150,0,,,1,1000190.0,237191.0,40.8176958,-73.9424115,6a,,New York
MN,2026,24,110.0,9.0,10030.0,32.0,207-209 WEST 140TH STREET,NY,V1,11,X,"NYC PARTNERSHIP HDFC, INC.",5596,0,36.0,99.92,5,612000,0,,,1,1000284.0,237669.0,40.8190076,-73.9420707,6a,,New York
MN,2062,2,109.0,7.0,10031.0,30.0,1763 AMSTERDAM AVENUE,NY,V1,11,,"EMPIRE DEVELOPMENT FUND, LLC",12467,0,124.67,100.0,5,1045800,0,,,1,999153.0,240462.0,40.8266755,-73.9461507,6a,,New York
MN,2011,48,110.0,9.0,10030.0,32.0,126 WEST 143 STREET,NY,V1,11,X,MALCOLM X II PHASE AASC,4163,0,41.67,99.92,5,306000,0,,,1,1001209.0,237866.0,40.8195466,-73.9387283,6a,,New York
MN,2067,7,109.0,7.0,10031.0,30.0,475 WEST 152 STREET,NY,V1,11,,475 WEST 152 LLC,1475,0,32.17,77.92,6,54000,0,,,1,999873.0,241525.0,40.8295919,-73.9435467,3b,,New York
MN,859,4,105.0,2.0,10016.0,14.0,273 5 AVENUE,NY,V1,11,,"PREMIER 273 FIFTH, LLC",2600,0,26.0,100.0,5,1166400,0,,,1,988037.0,210865.0,40.7454515,-73.986333,8d,,New York
MN,831,1,105.0,3.0,10001.0,14.0,836 AVENUE OF THE AMER,NY,V1,11,,"K.C. 836, LLC",996,0,24.67,40.33,3,691650,0,,,1,987082.0,211307.0,40.746665,-73.9897794,8d,,New York
MN,2111,37,112.0,10.0,10032.0,33.0,455 WEST 164 STREET,NY,V1,11,,445 W 164 LLC,3275,0,25.0,142.42,5,254250,0,,,1,1001496.0,244242.0,40.8370463,-73.937675,3b,,New York
MN,919,35,106.0,4.0,10016.0,17.0,246 EAST 39 STREET,NY,V9,11,,242 REALTY LLC,2469,0,25.0,98.75,5,363600,0,,,1,991402.0,211766.0,40.7479224,-73.9741881,8d,,New York
MN,2120,62,112.0,10.0,10032.0,33.0,565 WEST 161 STREET,NY,V1,11,,SJM HOLDINGS 565 LLC,1890,0,18.92,99.92,5,146700,0,,,1,1000319.0,243978.0,40.8363239,-73.9419292,3b,,New York
MN,970,1,106.0,4.0,10016.0,17.0,666 1 AVENUE,NY,V1,11,,"700 FIRST REALTY COMPANY, LLC",193528,0,515.0,336.86,3,101485350,0,,,1,992449.0,211320.0,40.7466973,-73.97041,8d,,New York
MN,2170,31,112.0,10.0,10033.0,34.0,663 WEST 187 STREET,NY,V1,11,,187 STREET MAZAL LLC,1582,0,16.67,94.92,5,153900,0,,,1,1002840.0,250452.0,40.8540882,-73.9328007,3a,,New York
MN,2170,27,112.0,10.0,10033.0,34.0,655 WEST 187 STREET,NY,V1,11,,187 STREET MAZAL LLC,1582,0,16.67,94.92,5,153900,0,,,1,1002899.0,250420.0,40.8540002,-73.9325875,3a,,New York
MN,2123,36,112.0,10.0,10032.0,33.0,506 WEST 166 STREET,NY,V1,11,,TRUSTEES OF COLUMBIA UNIVERSITY,2625,0,25.0,107.83,5,203850,0,,,1,1001257.0,244847.0,40.8387073,-73.9385372,3b,,New York
