borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
BK,810,60,307.0,43.0,11220.0,72.0,749 53 STREET,NY,V0,11,,WONDER 749 LLC,4007,0,40.0,100.17,5,31740,0,,,3,982534.0,172500.0,40.6401491,-74.0061831,22a,,New York
BK,6126,40,310.0,47.0,11209.0,68.0,4 AVENUE,NY,V1,11,C,NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,209,0,1.5,139.0,8,2556,0,,,3,975176.0,163173.0,40.6145439,-74.0326831,22b,,New York
BK,5048,155,309.0,40.0,11225.0,71.0,379 PARKSIDE AVENUE,NY,V0,11,,OXER JEAN,840,0,14.0,60.0,6,6480,0,,,3,996129.0,178361.0,40.6562284,-73.9571871,16d,,New York
BK,3888,42,305.0,37.0,11207.0,75.0,22 SUNNYSIDE COURT,NY,V0,11,,JOAN TASH,2475,0,25.0,99.0,5,6300,0,,,3,1014785.0,188294.0,40.6834476,-73.8899043,17c,,New York
BK,3897,135,305.0,37.0,11207.0,75.0,323A JAMAICA AVENUE,NY,V0,11,,CITY OF NEW YORK,334,0,26.0,12.83,6,756,0,,,3,1014662.0,187771.0,40.6820125,-73.8903501,17c,,New York
BK,7104,42,315.0,44.0,11223.0,61.0,373 AVENUE T,NY,V0,11,,"SHERR, LORRAINE",975,0,9.75,100.0,8,2028,0,,,3,992166.0,157773.0,40.5997231,-73.9714942,28c,,New York
BK,5163,47,314.0,40.0,11226.0,70.0,845 OCEAN AVENUE,NY,V0,11,,UNAVAILABLE OWNER,35,0,0.33,105.0,8,568,0,,,3,995590.0,173202.0,40.6420688,-73.9591383,22c,,New York
BK,8374,81,318.0,46.0,11234.0,63.0,8396 ROYCE STREET,NY,V0,11,,BERGEN COVE DEVELOPMENT CORP,13500,0,50.0,270.0,5,105000,0,,,3,1009600.0,166647.0,40.6240477,-73.9086805,23d,,New York
BK,8374,181,318.0,46.0,11234.0,63.0,1477 ROYCE STREET,NY,V0,11,,CATHOLIC MED CTR/BK&QN I,28515,0,50.0,270.0,5,204840,0,,,3,1010253.0,166487.0,40.6236066,-73.9063287,23d,,New York
BK,1449,14,316.0,37.0,11233.0,73.0,2334 DEAN STREET,NY,V0,11,,JACQUELINE TAYLOR,2404,0,50.0,107.17,5,9300,0,,,3,1009106.0,185021.0,40.6744817,-73.9103923,17c,,New York
BK,6104,51,310.0,47.0,11209.0,68.0,94 STREET,NY,V0,11,,KALLY E.M. BOORAS,2000,0,20.0,100.0,5,19380,0,,,3,973745.0,164640.0,40.618569,-74.0378396,22b,,New York
BK,1017,47,306.0,39.0,11215.0,78.0,464 6 AVENUE,NY,V0,11,,"ROCK, JOAN",1338,0,17.83,75.0,5,11280,0,,,3,988412.0,182340.0,40.6671569,-73.9849973,16d,,New York
BK,5651,16,312.0,43.0,11220.0,66.0,824 51ST STREET,NY,V0,11,,WANG TAO LLC,2504,0,60.0,100.18,5,25620,1920,,,3,983204.0,172430.0,40.639957,-74.003769,22a,,New York
BK,5596,23,312.0,38.0,11219.0,66.0,4217 NEW UTRECHT AVENUE,NY,V1,11,X,HUMAN CARE SERVICES FOR FAMILES &  CHILD REN,20166,0,126.12,162.99,3,389700,0,,,3,985953.0,173117.0,40.6418426,-73.9938636,22c,,New York
BK,5596,41,312.0,38.0,11219.0,66.0,4202/12 FORT HAMILTON PKWY,NY,V1,11,,FORT HAMILTON LOFTS LLC,17159,0,101.82,180.67,3,1001700,0,,,3,986127.0,173104.0,40.6418069,-73.9932366,22c,,New York
BK,5802,55,310.0,38.0,11220.0,68.0,7 AVENUE,NY,V1,11,X,PENTECOSTAL CHRISTIAN CHURCH,7750,0,48.0,155.42,5,469800,0,,,3,980354.0,170685.0,40.6351666,-74.0140371,22a,,New York
BK,5742,1,310.0,38.0,11220.0,68.0,801 65 STREET,NY,V1,11,,CLARITY ASSETS LLC,12000,0,100.0,120.0,3,373050,0,,,3,980909.0,169774.0,40.6326663,-74.012037,22a,,New York
BK,5728,24,310.0,38.0,11220.0,68.0,844 62 STREET,NY,V1,11,,"LI, GUAN YU",4292,0,42.92,100.0,5,120150,0,,,3,981533.0,170076.0,40.6334954,-74.009789,22a,,New York
BK,5983,9,310.0,38.0,11228.0,68.0,7901 7 AVENUE,NY,V1,11,,"WARREN, ROBERT",3179,0,40.0,74.58,3,185850,0,,,3,979002.0,166380.0,40.6233496,-74.0189049,22b,,New York
BK,406,1,306.0,39.0,11217.0,78.0,223 NEVINS STREET,NY,V1,11,,"CONSOLIDATED EDISON COMPANY OF NEW YORK,  INC.",45000,0,200.0,225.0,3,4296600,0,,,3,988404.0,187670.0,40.6817865,-73.9850229,16c,,New York
BK,946,1,306.0,39.0,11217.0,78.0,171 4 AVENUE,NY,V1,11,,"FOURTH AVENUE TOWER, LLC",9214,0,118.0,75.0,3,1203750,0,,,3,989320.0,186575.0,40.6787805,-73.9817211,16c,,New York
BK,6267,2,310.0,38.0,11228.0,68.0,7917 12TH AVENUE,NY,V0,11,,"TANG, MAN YI",3000,0,30.0,100.0,1,26460,0,,,3,980884.0,164740.0,40.618849,-74.0121246,22b,,New York
BK,1036,73,306.0,39.0,11215.0,78.0,331 14 STREET,NY,V0,11,,333 PARK SLOPE CONDOS LLC,582,0,24.17,24.92,5,7080,0,,,3,988199.0,181490.0,40.6648239,-73.9857656,16d,,New York
BK,1004,10,306.0,39.0,11215.0,78.0,222 8 STREET,NY,V0,11,X,R C CH ST THOM AQUINA,1560,0,19.5,80.0,5,22380,0,,,3,987625.0,183575.0,40.670547,-73.9878336,16d,,New York
BK,1049,64,307.0,39.0,11215.0,72.0,309 16 STREET,NY,V0,11,,CHRISTOPHER R CUMMINGS,1333,0,13.33,100.0,5,23460,0,,,3,988144.0,180956.0,40.6633582,-73.9859642,16d,,New York
