borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
BX,4987,83,212.0,12.0,10466.0,47.0,2127 STRANG AVENUE,NY,V0,11,,"BRIDGE, RAPHAEL",2000,0,20.0,100.0,3,5880,0,,,2,1028991.0,264070.0,40.8913716,-73.8381791,2b,,New York
BX,4107,47,211.0,13.0,10461.0,49.0,1632 TOMLINSON AVENUE,NY,V0,11,,"GASHI, KALTRINA",2125,0,25.0,85.0,5,5340,0,,,2,1025700.0,248138.0,40.8476592,-73.8501807,4b,,New York
BX,4098,56,211.0,13.0,10462.0,49.0,1648 COLDEN AVENUE,NY,V0,11,,JOHN RADOVANOVICH,2500,0,25.0,100.0,5,7200,0,,,2,1024501.0,247626.0,40.8462595,-73.8545175,4b,,New York
BX,4192,52,210.0,13.0,10461.0,45.0,2865 BUHRE AVENUE,NY,V0,11,,E PLUS A REALTY LLC,1859,0,20.33,91.42,3,7500,0,,,2,1030327.0,248092.0,40.84751,-73.8334569,4b,,New York
BX,4984,7,212.0,12.0,10466.0,47.0,4028 WILDER AVENUE,NY,V0,11,,BARLOW ELEANOR,2375,0,25.0,95.0,5,7380,0,,,2,1028246.0,264046.0,40.8913094,-73.8408738,2b,,New York
BX,3096,51,206.0,15.0,10457.0,48.0,2116 CROTONA AVENUE,NY,V0,11,,CROTONA GARDEN APARTMENTS LLC,2552,0,25.0,102.08,5,12060,0,,,2,1015207.0,248448.0,40.8485531,-73.8881057,3d,,New York
BX,4988,16,212.0,12.0,10466.0,47.0,4042 SETON AVENUE,NY,V0,11,,"GUNTER , COURTNEY",600,0,8.5,100.0,8,366,0,,,2,1029163.0,264506.0,40.8925674,-73.8375541,2b,,New York
BX,4988,15,212.0,12.0,10466.0,47.0,4040 SETON AVENUE,NY,V0,11,,"GUNTER , COURTNEY",1800,0,16.25,100.0,5,5640,0,,,2,1029176.0,264497.0,40.8925426,-73.8375071,2b,,New York
BX,5097,63,212.0,11.0,10466.0,47.0,4421 HILL AVENUE,NY,V0,11,,LANZI JOHN A,2450,0,25.0,98.0,5,6900,0,,,2,1027607.0,267432.0,40.9006061,-73.843163,2a,,New York
BX,3131,17,206.0,15.0,10460.0,48.0,956 EAST 179 STREET,NY,V0,11,,RIVERCOURT HOMES,8999,0,24.0,160.0,5,52380,0,,,2,1017133.0,246153.0,40.842247,-73.8811554,3d,,New York
BX,3132,13,206.0,15.0,10460.0,48.0,963 EAST 179 STREET,NY,V0,11,,RIVERCOURT HOMES HOMEOWN,3511,0,34.0,103.25,3,15240,0,,,2,1017157.0,246366.0,40.8428316,-73.8810676,3d,,New York
BX,4980,4,212.0,12.0,10466.0,47.0,4016 GRACE AVENUE,NY,V0,11,,"SINGH, BHARAT",2375,0,25.0,95.0,5,7380,0,,,2,1027298.0,263689.0,40.8903343,-73.8443049,2b,,New York
BX,3380,11,212.0,11.0,10470.0,47.0,4420 VAN CORTLANDT PARK E,NY,V0,11,,DONALD GIACCONE,600,0,23.2,36.0,5,1500,0,,,2,1020114.0,267354.0,40.9004256,-73.8702681,1c,,New York
