borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
MN,448,5,103.0,2.0,10003.0,9.0,112 2ND AVENUE,NY,V1,11,X,"THE MINISTER, ELDERS, AND DEACONS OF THE  REFORMED",4180,0,52.0,80.0,5,530379,0,East Village / Lower East Side Historic District,,1,987580.0,204387.0,40.7276711,-73.9879855,12c,,New York
MN,463,33,103.0,2.0,10003.0,9.0,123 2 AVENUE,NY,V1,11,,"123 SECOND AVE, CORP.",2500,0,25.0,100.0,5,623700,0,East Village / Lower East Side Historic District,,1,987503.0,204629.0,40.7283354,-73.9882632,12c,,New York
MN,447,32,103.0,2.0,10003.0,9.0,89 1 AVENUE,NY,V1,11,,89 FIRST AVENUE LLC,2425,0,24.25,100.0,5,634500,0,,,1,987927.0,203852.0,40.7262025,-73.9867339,12c,,New York
MN,464,31,103.0,2.0,10003.0,9.0,236 EAST 9 STREET,NY,V1,11,,DROBENKO BROS RLTY INC,1160,0,10.0,56.0,5,281250,0,,,1,987581.0,204985.0,40.7293125,-73.9879816,12c,,New York
MN,1815,114,111.0,8.0,10035.0,25.0,525 EAST 118 STREET,NY,V1,11,,"TIAGO PARKING HOLDINGS, LLC",2060,0,20.42,100.92,5,177750,0,,,1,1003406.0,229298.0,40.7960253,-73.9308151,6b,,New York
MN,1815,13,111.0,8.0,10035.0,25.0,521 EAST 118 STREET,NY,V1,11,,TIAGO PARKING HOLDINGS LLC,2061,0,20.42,100.92,5,156600,0,,,1,1003370.0,229317.0,40.7960775,-73.9309451,6b,,New York
MN,1715,49,111.0,8.0,10035.0,25.0,316 PLEASANT AVENUE,NY,V1,11,,"DARABUNDIT , SIVADOL",2450,0,25.0,98.0,5,229950,0,,,1,1002947.0,229083.0,40.7954361,-73.9324735,6b,,New York
MN,1709,111,111.0,8.0,10029.0,25.0,427 EAST 115 STREET,NY,V1,11,,HOPE EAST OF FIFTH HOUSING DEVELOPMENT F UND CO INC,1113,0,25.0,58.13,5,89550,0,,,1,1002312.0,228927.0,40.7950093,-73.9347673,6b,,New York
MN,1709,5,111.0,8.0,10029.0,25.0,408 EAST 116 STREET,NY,V1,11,,CAMI BROTHERS HARLEM LLC,8805,0,37.25,201.83,4,895050,0,,,1,1002204.0,229069.0,40.7953993,-73.935157,6b,,New York
MN,1815,14,111.0,8.0,10035.0,25.0,523 EAST 118 STREET,NY,V1,11,,"TIAGO PARKING HOLDINGS, LLC",2060,0,20.42,100.92,3,211050,0,,,1,1003388.0,229308.0,40.7960528,-73.9308801,6b,,New York
MN,1806,46,111.0,8.0,10035.0,25.0,2316 1 AVENUE,NY,V1,11,,2316 FIRST LLC,1413,0,22.08,64.0,3,275850,0,,,1,1002577.0,229920.0,40.7977343,-73.9338075,6b,,New York
MN,1708,125,111.0,8.0,10029.0,23.0,277 PLEASANT AVENUE,NY,V1,11,,277-279 PLEASANT AVECP.,972,0,13.13,74.0,5,104400,0,,,1,1002493.0,228643.0,40.7942294,-73.9341144,6b,,New York
MN,1676,48,111.0,8.0,10029.0,23.0,304 EAST 105 STREET,NY,V1,11,,304 E 105 ST LLC,2523,0,25.0,100.92,5,236700,0,,,1,1000157.0,226933.0,40.7895404,-73.942555,6b,,New York
MN,309,27,103.0,1.0,10002.0,7.0,39 LUDLOW STREET,NY,V5,11,C,NYC DEPARTMENT OF EDUCATION,2195,0,25.08,87.5,5,1071450,0,,,1,986864.0,200236.0,40.7162779,-73.9905704,12c,,New York
MN,336,25,103.0,1.0,10002.0,7.0,31 BIALYSTOKER PLACE,NY,V1,11,,UNAVAILABLE OWNER,4731,0,63.08,75.0,3,1760850,0,,,1,989006.0,200261.0,40.7163456,-73.9828435,12c,,New York
MN,535,20,102.0,2.0,10012.0,6.0,251 MERCER STREET,NY,V1,11,X,NEW YORK UNIVERSITY,4393,0,209.2,21.0,3,1749600,0,,,1,985512.0,204713.0,40.7285665,-73.9954467,12c,,New York
MN,79,4,101.0,1.0,10038.0,1.0,79 NASSAU STREET,NY,V1,11,,"LEXIN NASSAU PARTNERS, LLC",5320,0,51.25,105.95,5,3572100,0,,,1,981951.0,197943.0,40.7099842,-74.0082925,12b,,New York
MN,79,6,101.0,1.0,10038.0,1.0,75 NASSAU STREET,NY,V1,11,,"LEXIN NASSAU PARTNERS, LLC",5240,0,51.67,105.95,5,3627450,0,,,1,981923.0,197902.0,40.7098717,-74.0083935,12b,,New York
MN,1612,101,111.0,9.0,10029.0,23.0,5 AVENUE,NY,V1,11,,"LAKEVIEW ACQUISITION CO., L.P.",12276,0,135.71,90.46,5,1872450,0,,,1,998008.0,228644.0,40.7942403,-73.9503122,6b,,New York
MN,1516,138,108.0,5.0,10128.0,19.0,3 AVENUE,NY,V1,11,,CARNEGIE GREEN LLC,220,0,22.0,10.0,8,189900,0,,,1,997121.0,223541.0,40.7802352,-73.9535254,9a,,New York
