borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
SI,5015,68,503.0,51.0,10306.0,122.0,37 JUSTIN AVENUE,NY,V0,11,,HOME SELL INC,231,0,3.0,77.0,8,774,0,,,5,946411.0,142354.0,40.5573238,-74.1361732,33c,,New York
SI,1801,6,502.0,50.0,10314.0,121.0,461 SPENCER STREET,NY,V1,11,,"GLIKIS, ANASTASIOS J",1710,0,38.0,45.0,5,21150,0,,,5,929929.0,158781.0,40.6023269,-74.1956196,26a,,New York
SI,3638,45,502.0,50.0,10306.0,122.0,200 BRYANT AVE,NY,V0,11,,204 BRYANT AVE LLC,4000,0,40.0,100.0,5,13620,0,,,5,953766.0,148902.0,40.5753251,-74.1097339,27b,,New York
SI,5520,45,503.0,51.0,10312.0,122.0,182 BARTLETT AVENUE,NY,V0,11,,RICHMOND 45 INC.,5330,0,41.0,130.0,5,15660,0,,,5,937778.0,140533.0,40.5522845,-74.1672286,33c,,New York
SI,3795,38,502.0,50.0,10306.0,122.0,113 GRIMSBY STREET,NY,V0,11,,RESILIENT HOMES HOUSING DEVELOPMENT FUND  COMPANY INC.,2850,0,30.0,95.0,5,7860,0,,,5,958365.0,148916.0,40.5753782,-74.0931789,27b,,New York
SI,1552,52,502.0,50.0,10314.0,121.0,8 CROCHERON AVENUE,NY,V0,11,,SEEM REALTY VI LLC,5000,0,50.0,100.0,5,24480,0,,,5,940837.0,161793.0,40.6106544,-74.1563574,20d,,New York
SI,7035,64,503.0,51.0,10309.0,123.0,736 MAGUIRE AVENUE,NY,V0,11,,CS III LLC,4020,0,40.2,100.51,5,19080,0,,,5,925174.0,137828.0,40.5447848,-74.2125601,33a,,New York
SI,7710,301,503.0,51.0,10309.0,123.0,480 BUTLER BOULEVARD,NY,V0,11,,"MONTEMARANO, MICHAEL",6890,0,76.79,100.06,5,22680,0,,,5,921718.0,123840.0,40.5063668,-74.2248658,35a,,New York
SI,2004,50,502.0,51.0,10314.0,121.0,68 GLENN ROAD,NY,V0,11,,CENTENNIAL ESTATES INC,5686,0,49.04,118.82,5,26040,0,,,5,941609.0,155703.0,40.5939424,-74.1535385,26c,,New York
SI,1257,55,501.0,49.0,10303.0,121.0,180 GRANDVIEW AVENUE,NY,V0,11,,"MIMIDINOVSKI, SAKET",3566,0,35.0,102.0,0,10920,0,,,5,938346.0,170815.0,40.6354053,-74.1653904,20c,,New York
SI,1236,122,501.0,49.0,10303.0,121.0,5 LOCKMAN PLACE,NY,V0,11,,"FLETE, EDWIN",2233,0,25.0,89.33,5,6540,0,,,5,939577.0,170335.0,40.6340941,-74.160952,20c,,New York
SI,3551,116,502.0,50.0,10305.0,122.0,1919 HYLAN BOULEVARD,NY,V1,11,C,NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION,9363,0,85.13,220.1,5,33300,0,,,5,957183.0,151621.0,40.5827993,-74.0974446,27a,,New York
SI,4274,46,503.0,50.0,10306.0,122.0,10 STREET,NY,V0,11,,WADSWORTH RICH CORP,783,0,1.0,900.0,5,2700,0,,,5,950577.0,144948.0,40.5644606,-74.1211937,27b,,New York
SI,2100,460,502.0,51.0,10314.0,121.0,85L FREEDOM AVENUE,NY,V0,11,X,RIVINGTON HOMEOWNERS ASS LTD,15266,0,87.0,118.0,5,0,0,,,5,938951.0,157163.0,40.5979366,-74.163119,26c,,New York
SI,5520,140,503.0,51.0,10312.0,122.0,187 BARTLETT AVENUE,NY,V0,11,,GENESEE AVENUE DEVELOPERS LLC,4823,0,37.0,130.0,5,6300,0,,,5,937897.0,140618.0,40.5525184,-74.166801,33c,,New York
SI,7035,6,503.0,51.0,10309.0,123.0,87 BOMBAY STREET,NY,V0,11,,BOMBAY RADIGAN LLC,4020,0,40.2,100.51,5,19140,0,,,5,925111.0,137690.0,40.5444056,-74.2127856,33a,,New York
SI,7035,80,503.0,51.0,10309.0,123.0,171 MASON BOULEVARD,NY,V0,11,,MCGUIRE AVENUE LLC,3981,0,49.77,79.72,5,19920,0,,,5,925165.0,137599.0,40.5441562,-74.2125905,33a,,New York
SI,3040,15,502.0,50.0,10305.0,122.0,94 POUCH TERRACE,NY,V0,11,,STEUBEN LLC,5112,0,56.0,98.0,5,25800,0,,,5,963169.0,158601.0,40.6019743,-74.075916,27c,,New York
SI,6998,280,503.0,51.0,10309.0,123.0,25 MARETZEK COURT,NY,V0,11,,MANFAM LLC,15473,0,90.0,140.43,5,49920,0,,,5,924593.0,131147.0,40.5264429,-74.2145917,33b,,New York
SI,7035,68,503.0,51.0,10309.0,123.0,728 MAGUIRE AVENUE,NY,V0,11,,"CASA MASON ESTATES, LLC",40,0,39.8,100.51,5,19080,0,,,5,925198.0,137750.0,40.5445709,-74.2124731,33a,,New York
SI,1257,54,501.0,49.0,10303.0,121.0,178 GRANDVIEW AVENUE,NY,V0,11,,"MIMIDINOVSKI, SAKET",3412,0,33.5,102.0,0,10560,0,,,5,938347.0,170849.0,40.6354986,-74.1653871,20c,,New York
SI,7035,14,503.0,51.0,10309.0,123.0,71 BOMBAY STREET,NY,V0,11,,BOMBAY RADIGAN LLC,4020,0,40.2,100.51,5,19140,0,,,5,925064.0,137848.0,40.544839,-74.2129561,33a,,New York
SI,5520,135,503.0,51.0,10312.0,122.0,175 BARTLETT AVENUE,NY,V0,11,,GENESEE AVENUE DEVELOPERS LLC,4823,0,37.0,130.0,5,6300,0,,,5,937916.0,140508.0,40.5522166,-74.1667319,33c,,New York
SI,7884,83,503.0,51.0,10307.0,123.0,351 BRIGHTON STREET,NY,V0,11,,VITA ALBANESE,5000,0,50.0,100.0,5,16980,0,,,5,916928.0,122024.0,40.5013472,-74.2420726,35a,,New York
SI,195,26,501.0,49.0,10310.0,120.0,3 CHAPPELL STREET,NY,V1,11,X,"NEW HOPE COMMUNITY CHURCH, INC.",2425,0,25.0,97.0,5,28800,0,,,5,950921.0,171385.0,40.6370261,-74.120086,21a,,New York
SI,1835,150,502.0,50.0,10314.0,121.0,500 BLOOMFIELD ROAD,NY,V1,11,,"SUTHERLAND MARINE DEVELOPMENT, LLC",4252327,0,97.58,2800.0,5,3953700,0,,,5,929662.0,168217.0,40.6282251,-74.1966574,20a,,New York
SI,195,25,501.0,49.0,10310.0,120.0,1 CHAPPELL STREET,NY,V1,11,X,NEW HOPE COMMUNITY CHURCH INC,2425,0,25.0,97.0,5,28800,0,,,5,950918.0,171410.0,40.6370947,-74.120097,21a,,New York
SI,1801,160,502.0,50.0,10314.0,121.0,1800 SOUTH AVENUE,NY,V1,11,,1900 SOUTH OWNER LLC,382000,0,764.0,500.0,5,1395900,0,,,5,930940.0,160063.0,40.6058519,-74.191989,20b,,New York
SI,3658,28,502.0,50.0,10305.0,122.0,298 SEAVER AVENUE,NY,V0,11,,SI STAR REAL ESTATE INC,3000,0,30.0,100.0,0,12000,0,,,5,957869.0,151383.0,40.5821481,-74.0949739,27b,,New York
SI,5520,143,503.0,51.0,10312.0,122.0,191 BARTLETT AVENUE,NY,V0,11,,GENESEE AVENUE DEVELOPERS LLC,4823,0,37.0,130.0,5,6300,0,,,5,937891.0,140654.0,40.5526172,-74.1668228,33c,,New York
SI,5520,128,503.0,51.0,10312.0,122.0,163 BARTLETT AVENUE,NY,V0,11,,GENESEE AVENUE DEVELOPERS LLC,4823,0,37.0,130.0,5,6300,0,,,5,937934.0,140398.0,40.5519148,-74.1666663,33c,,New York
SI,5520,144,503.0,51.0,10312.0,122.0,195 BARTLETT AVENUE,NY,V0,11,,GENESEE AVENUE DEVELOPERS LLC,4823,0,37.0,130.0,3,6300,0,,,5,937885.0,140691.0,40.5527187,-74.1668447,33c,,New York
SI,5520,50,503.0,51.0,10312.0,122.0,3519 RICHMOND AVENUE,NY,V0,11,,RICHMOND 45 INC.,7200,0,45.0,96.0,3,16920,0,,,5,937787.0,140645.0,40.552592,-74.167197,33c,,New York
SI,5520,136,503.0,51.0,10312.0,122.0,179 BARTLETT AVENUE,NY,V0,11,,GENESEE AVENUE DEVELOPERS LLC,4823,0,37.0,130.0,5,6300,0,,,5,937909.0,140545.0,40.5523181,-74.1667573,33c,,New York
SI,5520,132,503.0,51.0,10312.0,122.0,171 BARTLETT AVENUE,NY,V0,11,,GENESEE AVENUE DEVELOPERS LLC,4823,0,37.0,130.0,5,6300,0,,,5,937922.0,140471.0,40.5521151,-74.16671,33c,,New York
SI,5520,48,503.0,51.0,10312.0,122.0,186 BARTLETT AVENUE,NY,V0,11,,RICHMOND 45 INC.,5330,0,41.0,130.0,5,15660,0,,,5,937771.0,140574.0,40.552397,-74.1672541,33c,,New York
