borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
QN,5102,54,407.0,20.0,11355.0,109.0,132-21 POPLE AVENUE,NY,V0,11,,EAST WEST MANSION LLC,2902,0,29.0,100.08,5,24180,0,,,4,1030798.0,213823.0,40.7534487,-73.8319921,10b,,New York
QN,4132,25,407.0,19.0,11356.0,109.0,127 STREET,NY,V1,11,,"25-50 FLB, LLC",3742,0,37.42,100.0,5,80100,0,,,4,1028112.0,224493.0,40.7827488,-73.8416171,7b,,New York
QN,4082,13,407.0,19.0,11356.0,109.0,120 STREET,NY,V0,11,,OSCAR RIOS,2500,0,25.0,100.0,5,17280,0,,,4,1026499.0,224443.0,40.7826194,-73.8474419,7b,,New York
BX,4987,83,212.0,12.0,10466.0,47.0,2127 STRANG AVENUE,NY,V0,11,,"BRIDGE, RAPHAEL",2000,0,20.0,100.0,3,5880,0,,,2,1028991.0,264070.0,40.8913716,-73.8381791,2b,,New York
QN,11742,42,410.0,28.0,11420.0,106.0,122 STREET,NY,V0,11,,121-18 133RD AVE CORP,4385,0,23.67,148.17,3,12720,0,,,4,1034766.0,184067.0,40.671754,-73.8178935,18c,,New York
QN,4128,14,407.0,19.0,11356.0,109.0,18-15 COLLEGE POINT BLVD,NY,V1,11,,DNF BUILDERS INC,2500,0,25.0,100.0,5,220950,0,,,4,1027009.0,224472.0,40.7826965,-73.8456001,7b,,New York
QN,11859,51,410.0,28.0,11420.0,106.0,135-12 126 STREET,NY,V0,11,,SINGH DAVID,10000,0,99.12,100.0,5,24540,0,,,4,1035802.0,182764.0,40.6681716,-73.8141688,18d,,New York
QN,11742,63,410.0,28.0,11420.0,106.0,133-42 122 STREET,NY,V0,11,,"SATTAUR, MICHELLE",2000,0,20.0,100.0,5,5340,0,,,4,1034679.0,183664.0,40.6706483,-73.8182101,18d,,New York
QN,11783,30,410.0,28.0,11420.0,106.0,133-13 124 STREET,NY,V0,11,,REMRAJ SINGH,2000,0,20.0,100.0,5,9240,0,,,4,1035661.0,183743.0,40.6708595,-73.8146696,18d,,New York
QN,11743,23,410.0,28.0,11420.0,106.0,133-27 122 STREET,NY,V0,11,,"SINGH, RAJINDER JIT",2000,0,20.0,100.0,5,6000,0,,,4,1034870.0,183784.0,40.6709766,-73.8175207,18d,,New York
QN,11709,47,410.0,28.0,11420.0,106.0,117 STREET,NY,V0,11,,"HSIEH-SHAN, ANA",2000,0,20.0,100.0,5,10320,0,,,4,1033759.0,185521.0,40.6757506,-73.821513,18c,,New York
QN,11716,5,410.0,28.0,11420.0,106.0,122-35 SUTTER AVENUE,NY,V0,11,,"ZAIDI, SAMINA",2675,0,20.0,133.75,5,8160,0,,,4,1035414.0,184784.0,40.6737183,-73.8155521,18c,,New York
QN,11746,61,410.0,28.0,11420.0,106.0,125 STREET,NY,V0,11,,GLORIA JENKINS,2000,0,20.0,100.0,5,6000,0,,,4,1036063.0,185004.0,40.6743183,-73.8132107,18c,,New York
